L*,C*,S12,Thr,Lys,His,分组
70.25522626,15.16565028,0.990890239,15.97509,22.13448,12.58791,7
67.76112783,15.3043282,0.990866288,14.58894,29.07309,14.5053,7
67.95449012,15.07781119,0.990885282,14.83323,27.57423,14.74005,7
67.4733076,15.14495869,0.990869861,16.87095,28.68684,13.98642,7
69.44481023,15.52692568,0.990854478,15.75612,27.29622,13.84014,7
67.20785796,15.25855408,0.990672212,14.19288,25.50042,12.6438,7
67.72714021,15.35975798,0.990686422,15.9633,30.64452,14.09094,7
68.28889622,15.29944549,0.990735195,15.18942,26.3601,13.73181,7
68.27283069,15.19623258,0.990696665,15.93318,25.86279,14.61243,7
69.06384457,15.70303607,0.99070266,16.76322,30.74793,14.09973,7
70.09339305,15.38559911,0.990731046,16.50684,22.49733,14.38989,7
68.35907012,15.33473807,0.990635046,17.93238,28.96515,13.83192,7
67.5059356,15.37623332,0.99071031,18.12024,29.90628,14.68557,7
67.14982164,15.34814085,0.990761859,15.87834,29.36901,13.59696,7
68.30726817,15.01911925,0.990682092,17.94555,23.90547,12.90258,7
68.5253264,15.05786408,0.990563308,18.21315,25.02738,12.68961,7
68.30922117,14.60903122,0.990589349,16.2816,27.33156,12.78228,7
69.18023037,14.80486626,0.990535986,14.60322,27.11763,13.05348,7
69.07229203,15.02142346,0.990536928,18.67686,25.68804,12.81012,7
68.15621158,15.27022405,0.990558942,17.20731,27.57807,14.66325,7
69.39934568,15.50652415,0.990560869,18.58167,26.655,15.26907,7
67.9922058,15.24002499,0.990478811,15.63861,23.5656,12.24384,7
69.12879828,14.8014161,0.990494769,16.11552,24.22176,13.11744,7
67.22572459,15.93271819,0.990589008,15.49281,26.41161,15.6816,7
69.29094076,15.1244989,0.99051275,14.59785,26.07228,14.70024,7
68.33,15.22,0.990377023,19.21629,36.94353,18.91287,8
70.22,13.56,0.9904167,21.01974,39.40803,20.5035,8
70.85,14.02,0.990380503,17.44353,34.4688,17.30976,8
70.16298968,13.34976938,0.990377546,18.91293,41.99961,19.16805,8
69.85904199,15.2920909,0.990425769,20.50488,38.71245,17.47563,8
69.60987203,13.56419972,0.990376597,20.57907,38.00205,17.21769,8
68.2162235,13.33778927,0.990324419,17.17143,40.51815,21.91512,8
71.23407391,13.87840312,0.990389175,19.458,38.70684,18.42357,8
69.91464459,15.34515425,0.99040954,21.65439,41.76591,17.83884,8
67.95975548,13.55642875,0.990373306,20.24901,37.41402,20.62176,8
72.95626606,16.01505658,0.990257328,20.41422,33.27882,18.31851,8
69.08990917,13.98385711,0.990248286,20.37882,38.14299,19.89918,8
72.48616289,14.8527216,0.99023844,18.89706,40.32087,19.50414,8
70.28242959,13.08334633,0.990181726,19.68426,37.36989,18.64944,8
68.5394975,12.65292892,0.990241008,21.03306,38.31555,18.79512,8
69.44221562,14.57507474,0.990242799,23.08131,35.34909,17.46474,8
70.3960298,14.06786408,0.990227968,22.05009,37.20981,18.41334,8
68.11228594,13.96650046,0.990245455,16.98474,33.25347,17.34258,8
69.58221915,14.36718641,0.990228894,20.00976,32.6751,20.15685,8
68.06687506,13.78685649,0.990237384,18.29829,35.79525,16.27482,8
70.27983006,14.61622931,0.990118642,21.04638,38.46861,16.56627,8
69.66287075,14.49502962,0.990051438,20.58066,34.53795,17.3778,8
69.63514161,12.73552639,0.990072308,18.8577,34.32417,18.26976,8
69.48771798,14.05544081,0.990102164,16.9821,37.88076,20.89713,8
70.84284965,15.37506026,0.990093504,19.84572,35.97492,18.297,8
68.72850646,14.83536605,0.990019353,19.36851,34.70013,19.71561,8
